skiier_id,age_class,start_group,smagan,mangsbodarna,risberg,evertsberg,oxberg,hokberg,eldris,mora
10152,21,7,5490,9447,12877,17309,21931,25179,28319,30894
3025,55,10,7129,12913,18335,24007,30435,34379,38723,42158
6709,40,9,5189,9458,13095,17479,22429,25798,29321,32066
2447,55,7,4677,8647,11923,16018,20378,23518,26660,29169
13218,45,2,2560,5137,7236,9940,12688,14542,16633,18481
3138,21,7,4971,9359,13274,18622,24207,28361,32092,35366
4267,45,5,4138,7174,9723,13040,16501,18729,21329,23312
9126,50,6,3704,6932,9574,13056,16804,19820,22561,24956
6789,50,4,3943,7037,9443,12598,15823,17858,20261,22429
12072,21,0,2083,4416,6246,8619,10950,12649,14306,15944
4273,21,1,2191,4539,6407,8926,11298,13202,15106,16729
7384,45,6,4158,8085,11270,15708,20563,24194,27571,30352
467,21,3,3086,5884,8260,11368,14570,16753,19088,21107
7935,40,8,5183,9435,12877,17276,22163,25437,28843,31738
4010,21,10,5340,10658,15197,21200,26930,31502,36345,40017
292,21,4,3014,5842,8246,11346,14719,16879,19300,21254
1997,21,10,7298,13091,18106,24077,30137,34080,38522,42895
13102,35,6,4885,8504,11717,15394,19667,22728,25688,27925
8515,40,8,5156,9043,12244,16603,21866,25308,28579,31377
3738,21,4,3024,5755,7955,10817,13713,15745,17814,19703
9640,50,8,6237,11033,15265,20922,26369,29972,33664,36651
6827,45,8,6253,11090,15839,21960,27790,31668,35595,38967
869,40,10,5463,9540,13665,18091,22623,25924,29196,32145
13284,21,10,5521,10095,14032,19133,24319,27956,31731,35134
477,40,8,6034,10348,13972,18543,23350,26731,30206,33147
10371,40,4,3421,6680,9548,13201,16953,19584,22139,24274
11140,21,9,5306,9546,13441,18900,24444,27641,31438,34419
9542,21,3,3131,5998,8406,11474,14486,16553,18813,20769
2605,21,5,4485,7801,10695,13962,17474,19968,22345,24494
6632,21,10,7241,13304,18448,24208,30142,34037,38733,42273
7424,50,7,4512,8131,11179,15300,19804,22884,25792,28563
2420,21,10,6871,11624,16146,21432,26736,30194,33728,36870
11779,50,5,3705,7174,9992,13463,17125,20015,22770,24877
9880,40,6,4139,8026,11677,16194,21180,24784,28429,31149
367,45,9,6095,10683,14593,19572,24306,27564,30897,33704
12178,21,9,6375,12213,17735,23951,29833,33493,37822,41328
1774,21,7,4479,8173,11167,14927,19182,22192,25029,27468
10143,35,10,7173,12563,17794,23596,30139,34134,38828,42964
9582,21,0,1974,4340,6346,8341,10603,12150,13847,15222
